location_id,date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,enso,iod,mjo_phase,mjo_amplitude,latitude,longitude,elevation_m,soil_code,normal_daily_rain_mm,enso_current,enso_lag_7d,enso_rolling_7d,iod_current,iod_lag_7d,iod_rolling_7d,mjo_sin,mjo_cos,rain_lag_1d,rain_lag_3d,rain_acc_7d,rain_acc_14d,rain_acc_30d,dry_days_prev_7d,dry_days_prev_14d,wet_days_prev_7d,rainfall_anomaly_pct,temp_anomaly_c,doy_sin,doy_cos,target_onset_7d,target_false_onset_7d,target_dry_spell_7d,target_heavy_rain_7d,imd_heavy_category_7d,target_rainfall_mm_7d,target_anomaly_pct_7d,target_onset_14d,target_false_onset_14d,target_dry_spell_14d,target_heavy_rain_14d,imd_heavy_category_14d,target_rainfall_mm_14d,target_anomaly_pct_14d,target_onset_21d,target_false_onset_21d,target_dry_spell_21d,target_heavy_rain_21d,imd_heavy_category_21d,target_rainfall_mm_21d,target_anomaly_pct_21d,target_onset_30d,target_false_onset_30d,target_dry_spell_30d,target_heavy_rain_30d,imd_heavy_category_30d,target_rainfall_mm_30d,target_anomaly_pct_30d
bara,2019-05-01,0.0,36.3,22.9,987.8,17.7,0.71,0.34,7,0.7,25.25,81.73,108.0,3,8.2,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.7999999999999992,8.999999999999998,7.0,14.0,0.0,-100.0,4.666666666666664,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-01,0.0,36.3,24.2,989.0,17.5,0.71,0.34,7,0.7,25.39,81.86,97.0,2,8.5,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,1.100000000000001,8.7,7.0,14.0,0.0,-100.0,4.629999999999999,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-01,0.0,36.4,24.5,989.6,17.3,0.71,0.34,7,0.7,25.38,82.18,91.0,1,8.7,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.9999999999999982,8.399999999999999,7.0,14.0,0.0,-100.0,4.683333333333334,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-01,0.0,36.4,23.4,989.1,17.4,0.71,0.34,7,0.7,25.28,81.94,96.0,1,8.6,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.7999999999999992,8.2,7.0,14.0,0.0,-100.0,4.703333333333333,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-01,0.0,36.3,21.1,984.0,18.6,0.71,0.34,7,0.7,24.98,82.06,142.0,4,7.9,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,4.799999999999997,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-01,0.0,36.4,22.5,986.7,18.0,0.71,0.34,7,0.7,25.14,82.12,118.0,3,8.1,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,0.5999999999999982,8.999999999999998,7.0,14.0,0.0,-100.0,4.779999999999998,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
phulpur,2019-05-01,0.0,36.2,25.8,989.3,17.4,0.71,0.34,7,0.7,25.55,82.09,94.0,2,8.4,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,1.6,10.1,7.0,14.0,0.0,-100.0,4.573333333333338,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
soraon,2019-05-01,0.0,36.2,25.9,989.2,17.4,0.71,0.34,7,0.7,25.6,81.85,95.0,1,8.8,0.71,0.82,0.8042857142857143,0.34,0.29,0.29714285714285715,-0.7071067811865477,0.7071067811865474,0.0,0.0,0.0,1.5000000000000009,9.8,7.0,14.0,0.0,-100.0,4.58666666666667,0.8724040568049612,-0.48878539428899265,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
bara,2019-05-02,0.0,35.7,28.9,988.6,19.3,0.71,0.34,8,0.74,25.25,81.73,108.0,3,8.2,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,3.8300000000000054,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-02,0.0,35.6,30.2,989.8,19.0,0.71,0.34,8,0.74,25.39,81.86,97.0,2,8.5,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.7,7.0,14.0,0.0,-100.0,3.696666666666669,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-02,0.0,35.7,30.5,990.4,18.8,0.71,0.34,8,0.74,25.38,82.18,91.0,1,8.7,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.399999999999999,7.0,14.0,0.0,-100.0,3.7466666666666733,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-02,0.0,35.8,29.4,989.9,18.9,0.71,0.34,8,0.74,25.28,81.94,96.0,1,8.6,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.2,7.0,14.0,0.0,-100.0,3.8633333333333297,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-02,0.0,35.8,27.1,984.8,20.2,0.71,0.34,8,0.74,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,4.056666666666665,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-02,0.0,35.8,28.5,987.5,19.6,0.71,0.34,8,0.74,25.14,82.12,118.0,3,8.1,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,3.9399999999999977,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
phulpur,2019-05-02,0.0,35.5,31.8,990.1,18.9,0.71,0.34,8,0.74,25.55,82.09,94.0,2,8.4,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,10.1,7.0,14.0,0.0,-100.0,3.6400000000000006,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
soraon,2019-05-02,0.0,35.4,31.9,990.0,18.9,0.71,0.34,8,0.74,25.6,81.85,95.0,1,8.8,0.71,0.82,0.7885714285714285,0.34,0.29,0.30428571428571427,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,9.8,7.0,14.0,0.0,-100.0,3.5566666666666684,0.8638670987837349,-0.503719798736334,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
bara,2019-05-03,0.0,34.0,41.6,990.2,23.7,0.71,0.34,8,0.8,25.25,81.73,108.0,3,8.2,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,1.9699999999999989,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
chaka,2019-05-03,0.0,34.0,42.2,991.4,23.3,0.71,0.34,8,0.8,25.39,81.86,97.0,2,8.5,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.7,7.0,14.0,0.0,-100.0,1.9366666666666674,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
handia,2019-05-03,0.0,34.0,42.6,992.0,23.1,0.71,0.34,8,0.8,25.38,82.18,91.0,1,8.7,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.399999999999999,7.0,14.0,0.0,-100.0,1.8866666666666703,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
karchhana,2019-05-03,0.0,34.0,42.0,991.5,23.2,0.71,0.34,8,0.8,25.28,81.94,96.0,1,8.6,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.2,7.0,14.0,0.0,-100.0,1.9033333333333289,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
koraon,2019-05-03,0.0,33.9,41.1,986.4,24.8,0.71,0.34,8,0.8,24.98,82.06,142.0,4,7.9,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.1,7.0,14.0,0.0,-100.0,1.9966666666666697,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
meja,2019-05-03,0.0,34.0,41.7,989.1,24.0,0.71,0.34,8,0.8,25.14,82.12,118.0,3,8.1,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,8.999999999999998,7.0,14.0,0.0,-100.0,1.9799999999999969,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
phulpur,2019-05-03,0.0,33.9,43.0,991.7,23.2,0.71,0.34,8,0.8,25.55,82.09,94.0,2,8.4,0.71,0.82,0.7728571428571428,0.34,0.29,0.3114285714285714,-2.4492935982947064e-16,1.0,0.0,0.0,0.0,0.0,10.1,7.0,14.0,0.0,-100.0,1.8799999999999955,0.8550745085896932,-0.518505144391157,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0,0,0,1,0,0,0.0,-100.0
