location_id,date,rainfall_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,enso,iod,mjo_phase,mjo_amplitude,latitude,longitude,elevation_m,soil_code,normal_daily_rain_mm
bara,2019-01-01,0.0,14.7,63.7,1007.8,9.0,0.99,0.27,1,1.05,25.25,81.73,108.0,3,8.2
bara,2019-01-02,0.0,15.6,62.2,1007.2,10.5,0.99,0.27,1,1.12,25.25,81.73,108.0,3,8.2
bara,2019-01-03,0.0,15.2,65.1,1007.8,11.0,0.99,0.27,1,1.18,25.25,81.73,108.0,3,8.2
bara,2019-01-04,0.0,15.4,65.9,1007.4,11.1,0.99,0.27,1,1.25,25.25,81.73,108.0,3,8.2
bara,2019-01-05,0.0,16.8,64.9,1005.9,13.5,0.99,0.27,1,1.3,25.25,81.73,108.0,3,8.2
bara,2019-01-06,0.0,18.4,60.5,1003.0,17.5,0.99,0.27,1,1.36,25.25,81.73,108.0,3,8.2
bara,2019-01-07,0.0,16.7,71.2,1003.9,14.8,0.99,0.27,2,1.4,25.25,81.73,108.0,3,8.2
bara,2019-01-08,0.0,15.9,71.4,1004.2,12.8,0.99,0.27,2,1.44,25.25,81.73,108.0,3,8.2
bara,2019-01-09,0.0,15.1,63.4,1004.0,14.4,0.99,0.27,2,1.47,25.25,81.73,108.0,3,8.2
bara,2019-01-10,0.0,14.6,64.7,1004.5,8.3,0.99,0.27,2,1.49,25.25,81.73,108.0,3,8.2
bara,2019-01-11,0.0,15.4,61.4,1005.3,10.1,0.99,0.27,2,1.5,25.25,81.73,108.0,3,8.2
bara,2019-01-12,0.0,16.1,63.4,1004.7,8.4,0.99,0.27,3,1.5,25.25,81.73,108.0,3,8.2
bara,2019-01-13,0.9,17.2,67.5,1004.8,10.2,0.99,0.27,3,1.51,25.25,81.73,108.0,3,8.2
bara,2019-01-14,0.0,16.3,60.2,1004.9,18.8,0.99,0.27,3,1.47,25.25,81.73,108.0,3,8.2
bara,2019-01-15,0.0,13.9,52.4,1005.6,13.4,0.99,0.27,3,1.44,25.25,81.73,108.0,3,8.2
bara,2019-01-16,0.0,14.0,54.2,1005.6,9.9,0.99,0.27,3,1.4,25.25,81.73,108.0,3,8.2
bara,2019-01-17,0.0,14.9,59.2,1003.6,10.9,0.99,0.27,4,1.36,25.25,81.73,108.0,3,8.2
bara,2019-01-18,0.0,14.3,66.5,1004.0,11.0,0.99,0.27,4,1.3,25.25,81.73,108.0,3,8.2
bara,2019-01-19,0.0,15.6,61.4,1004.7,11.2,0.99,0.27,4,1.25,25.25,81.73,108.0,3,8.2
bara,2019-01-20,0.0,17.1,57.2,1004.3,9.6,0.99,0.27,4,1.18,25.25,81.73,108.0,3,8.2
bara,2019-01-21,0.0,18.6,53.7,1002.4,15.3,0.99,0.27,4,1.12,25.25,81.73,108.0,3,8.2
bara,2019-01-22,0.0,19.8,52.8,1001.2,16.4,0.99,0.27,5,1.05,25.25,81.73,108.0,3,8.2
bara,2019-01-23,4.5,18.1,75.6,1003.5,18.7,0.99,0.27,5,1.1,25.25,81.73,108.0,3,8.2
bara,2019-01-24,0.3,17.7,80.6,1004.8,8.4,0.99,0.27,5,0.92,25.25,81.73,108.0,3,8.2
bara,2019-01-25,10.0,16.7,88.5,1004.4,10.9,0.99,0.27,5,1.1,25.25,81.73,108.0,3,8.2
